time;x;y;z
2.517;0.119;-1.043;0.030
2.522;0.124;-1.034;0.036
2.527;0.125;-1.029;0.039
2.531;0.129;-1.020;0.045
2.536;0.132;-1.008;0.050
2.541;0.130;-1.003;0.048
2.546;0.130;-0.996;0.051
2.552;0.126;-0.986;0.051
2.562;0.135;-0.978;0.044
2.563;0.133;-0.970;0.046
2.567;0.126;-0.964;0.054
2.571;0.124;-0.959;0.062
2.596;0.118;-0.961;0.070
2.596;0.119;-0.958;0.073
2.597;0.115;-0.954;0.084
2.597;0.095;-0.955;0.094
2.600;0.088;-0.958;0.095
2.605;0.084;-0.960;0.101
2.610;0.080;-0.961;0.105
2.614;0.073;-0.963;0.110
2.619;0.060;-0.965;0.117
2.624;0.052;-0.968;0.119
2.629;0.054;-0.971;0.117
2.635;0.054;-0.973;0.118
2.639;0.054;-0.977;0.118
2.645;0.056;-0.979;0.116
2.649;0.059;-0.980;0.112
2.654;0.062;-0.981;0.110
2.673;0.068;-0.981;0.109
2.674;0.073;-0.982;0.109
2.675;0.076;-0.983;0.110
2.683;0.079;-0.985;0.111
2.684;0.078;-0.989;0.115
2.684;0.075;-0.993;0.118
2.710;0.076;-0.994;0.116
2.711;0.083;-0.994;0.114
2.711;0.092;-0.994;0.116
2.712;0.102;-0.992;0.119
2.712;0.110;-0.988;0.122
2.713;0.112;-0.984;0.122
2.717;0.112;-0.982;0.123
2.722;0.114;-0.981;0.125
2.728;0.116;-0.982;0.127
2.733;0.121;-0.985;0.125
2.737;0.125;-0.987;0.124
2.744;0.127;-0.990;0.125
2.748;0.132;-0.992;0.122
2.752;0.137;-0.994;0.122
2.762;0.141;-0.994;0.118
2.763;0.145;-0.996;0.118
2.767;0.150;-0.995;0.114
2.772;0.152;-0.995;0.112
2.794;0.153;-0.994;0.109
2.795;0.153;-0.995;0.105
2.796;0.154;-0.995;0.103
2.797;0.156;-0.993;0.100
2.800;0.158;-0.993;0.096
2.801;0.159;-0.991;0.095
2.806;0.165;-0.990;0.092
2.827;0.167;-0.988;0.092
2.828;0.169;-0.987;0.092
2.828;0.171;-0.984;0.090
2.828;0.172;-0.983;0.092
2.829;0.172;-0.983;0.092
2.834;0.171;-0.984;0.092
2.845;0.166;-0.982;0.094
2.849;0.162;-0.983;0.095
2.854;0.159;-0.983;0.099
2.869;0.153;-0.984;0.103
2.870;0.153;-0.985;0.106
2.871;0.150;-0.987;0.108
2.921;0.148;-0.991;0.111
2.921;0.148;-0.994;0.112
2.921;0.143;-0.996;0.109
2.921;0.140;-0.997;0.107
2.922;0.137;-1.000;0.104
2.922;0.135;-1.001;0.098
2.922;0.132;-1.001;0.093
2.923;0.132;-1.001;0.089
2.924;0.127;-1.002;0.084
2.925;0.125;-0.999;0.081
2.926;0.123;-0.998;0.076
2.931;0.124;-0.994;0.071
2.932;0.122;-0.995;0.069
2.937;0.120;-0.994;0.068
2.945;0.119;-0.993;0.069
2.947;0.120;-0.996;0.070
2.951;0.120;-0.997;0.074
2.957;0.121;-0.998;0.078
2.961;0.122;-0.998;0.081
2.966;0.125;-0.997;0.084
2.971;0.125;-0.998;0.086
2.977;0.128;-1.000;0.089
2.989;0.128;-1.001;0.092
2.993;0.127;-1.000;0.094
2.994;0.130;-1.000;0.096
2.996;0.132;-0.999;0.096
3.000;0.134;-0.999;0.094
3.005;0.135;-0.997;0.093
3.030;0.134;-0.995;0.091
3.031;0.134;-0.992;0.092
3.031;0.136;-0.992;0.092
3.031;0.136;-0.991;0.093
3.031;0.136;-0.990;0.094
3.034;0.133;-0.987;0.094
3.039;0.134;-0.986;0.094
3.045;0.138;-0.987;0.096
3.049;0.136;-0.986;0.097
3.054;0.136;-0.985;0.098
3.067;0.134;-0.985;0.101
3.068;0.131;-0.985;0.101
3.069;0.133;-0.984;0.106
3.100;0.130;-0.987;0.105
3.101;0.126;-0.985;0.107
3.102;0.125;-0.984;0.106
3.102;0.124;-0.984;0.107
3.104;0.124;-0.984;0.108
3.104;0.122;-0.987;0.109
3.104;0.123;-0.986;0.111
3.113;0.119;-0.987;0.115
3.118;0.119;-0.987;0.115
3.123;0.121;-0.988;0.119
3.128;0.123;-0.989;0.118
3.133;0.127;-0.989;0.116
3.138;0.126;-0.992;0.119
3.146;0.128;-0.993;0.117
3.148;0.132;-0.992;0.114
3.152;0.135;-0.991;0.114
3.163;0.136;-0.992;0.112
3.164;0.134;-0.992;0.109
3.167;0.134;-0.992;0.103
3.173;0.134;-0.992;0.101
3.200;0.134;-0.989;0.098
3.202;0.132;-0.989;0.096
3.204;0.133;-0.988;0.095
3.205;0.134;-0.986;0.094
3.206;0.133;-0.987;0.093
3.207;0.131;-0.988;0.091
3.207;0.129;-0.989;0.091
3.235;0.127;-0.988;0.090
3.236;0.126;-0.987;0.089
3.236;0.124;-0.988;0.090
3.236;0.122;-0.991;0.089
3.236;0.123;-0.993;0.086
3.237;0.123;-0.994;0.086
3.240;0.123;-0.993;0.086
3.245;0.124;-0.993;0.085
3.250;0.126;-0.992;0.085
3.255;0.128;-0.991;0.084
3.271;0.128;-0.990;0.079
3.273;0.127;-0.989;0.075
3.273;0.126;-0.989;0.072
3.274;0.126;-0.989;0.069
3.302;0.127;-0.990;0.067
3.304;0.128;-0.993;0.063
3.304;0.130;-0.995;0.059
3.305;0.133;-0.992;0.059
3.306;0.137;-0.993;0.058
3.307;0.141;-0.991;0.059
3.312;0.143;-0.991;0.061
3.313;0.145;-0.994;0.061
3.318;0.147;-0.992;0.064
3.322;0.148;-0.992;0.065
3.328;0.152;-0.993;0.067
3.332;0.150;-0.990;0.067
3.337;0.148;-0.989;0.067
3.344;0.146;-0.990;0.066
3.348;0.143;-0.991;0.065
3.352;0.141;-0.990;0.062
3.357;0.138;-0.992;0.061
3.363;0.137;-0.993;0.061
3.367;0.138;-0.992;0.062
3.372;0.140;-0.991;0.066
3.382;0.140;-0.989;0.072
3.387;0.138;-0.987;0.077
3.416;0.139;-0.989;0.083
